zip,bedrooms,bathrooms,sqft,lot_size,year_built,price,type_multi,type_single,type_townhouse
7022,1,1.0,1387,0.5,2000,838900.0,False,False,False
8758,1,1.0,716,0.07,1955,468800.0,False,False,True
8878,1,1.0,999,0.21,1902,359600.0,False,True,False
7228,1,1.0,777,0.27,2014,345100.0,False,False,False
8294,1,1.0,500,0.14,1970,218900.0,False,False,False
8565,2,1.0,1577,0.48,1905,456500.0,False,False,False
7054,4,1.5,1805,0.27,2005,597700.0,False,True,False
8127,2,1.0,500,0.59,2016,308700.0,False,True,False
7062,6,3.0,2615,0.23,1935,711400.0,False,True,False
7433,2,1.0,1312,0.21,1966,490300.0,False,True,False
7244,1,1.0,1062,1.1,1900,612500.0,False,True,False
7826,1,1.0,822,0.61,1902,447400.0,True,False,False
7497,2,1.0,953,0.3,1922,349700.0,False,True,False
8642,1,1.0,528,0.14,1931,220500.0,False,True,False
7361,1,1.0,1133,0.66,1989,649200.0,False,True,False
7024,1,1.0,1425,0.24,1945,623300.0,False,True,False
8978,6,2.5,3890,0.19,1912,1035000.0,False,True,False
7711,1,1.0,827,0.2,2015,370300.0,False,False,False
8928,1,1.0,883,1.18,1956,325900.0,False,True,False
8999,5,2.5,2678,0.6,1960,785000.0,False,False,False
8245,5,2.5,2068,0.82,1915,677800.0,False,False,True
8065,2,1.0,616,0.22,1915,356500.0,False,False,True
8372,2,1.0,573,0.12,2022,320200.0,False,False,True
7224,1,1.0,563,0.38,1990,251900.0,False,True,False
7288,2,1.0,1614,0.09,1960,1071700.0,False,True,False
8853,2,1.0,1143,0.49,1938,567800.0,False,True,False
7417,3,1.5,1003,0.27,1912,690300.0,False,True,False
7681,5,2.0,2682,0.26,1906,704300.0,False,True,False
7996,3,1.0,1393,0.14,1964,515700.0,False,True,False
7385,4,2.0,2405,0.79,1903,1251800.0,False,False,True
7258,1,1.0,795,0.28,2014,305600.0,False,True,False
7916,6,2.5,5971,0.51,2022,3000000.0,False,True,False
8950,4,2.5,1648,0.41,1999,999000.0,False,True,False
7631,5,2.5,2899,1.44,1925,1517200.0,False,False,False
7011,3,2.0,1296,0.06,1935,564000.0,False,False,True
8035,3,1.0,1754,0.11,1961,590600.0,False,False,True
8670,2,1.0,855,0.24,1946,582000.0,False,False,True
8221,2,1.0,715,0.09,1933,296400.0,False,True,False
8889,2,1.0,1325,0.1,1993,907400.0,False,False,True
7297,2,1.0,590,0.15,1987,397100.0,False,False,False
8833,1,1.0,1293,0.26,1934,433500.0,False,False,False
7993,2,1.0,1187,1.25,1911,561400.0,False,False,False
8167,1,1.0,1039,0.14,1949,482400.0,False,False,True
7443,5,2.5,2254,0.16,1963,1101300.0,False,True,False
8242,4,1.5,2997,0.21,1943,1197600.0,False,False,False
8183,1,1.0,955,0.23,1953,638800.0,False,True,False
7150,6,3.5,5205,0.16,1962,1424900.0,True,False,False
8270,1,1.0,533,0.18,2004,176700.0,False,True,False
7226,1,1.0,1360,0.6,2008,469900.0,False,True,False
8944,1,1.0,787,0.12,1997,430600.0,False,False,False
7914,3,1.0,1777,0.3,2001,818000.0,False,True,False
8024,1,1.0,500,0.16,1959,177200.0,True,False,False
8183,1,1.0,964,0.05,1948,372700.0,True,False,False
8289,4,1.5,2083,0.91,2011,874700.0,True,False,False
7277,2,1.0,1390,0.18,1962,582500.0,False,True,False
7066,4,2.0,1972,0.21,1916,610800.0,False,False,False
7431,1,1.0,824,0.44,1983,399100.0,False,True,False
8917,2,1.0,995,0.07,2008,326100.0,False,True,False
7016,3,1.5,1161,0.05,2006,632400.0,False,False,True
7725,2,1.0,1499,0.38,1948,409800.0,False,True,False
7832,3,1.0,1202,0.37,1932,361200.0,False,True,False
7031,1,1.0,930,0.11,1947,588500.0,False,False,True
8985,2,1.0,1256,0.24,1957,771700.0,False,False,True
7990,2,1.0,1032,0.26,1904,545800.0,False,True,False
7747,2,1.0,1983,0.42,1926,787200.0,False,False,True
8759,4,1.0,2898,0.12,1989,1156100.0,False,True,False
8178,2,1.0,916,0.38,1932,494600.0,False,True,False
8676,3,1.5,1317,1.34,1973,525500.0,False,False,False
7717,2,1.0,754,0.06,1983,324900.0,True,False,False
8281,2,1.0,1851,0.25,1984,798300.0,False,False,True
7373,2,1.0,500,1.35,1958,329600.0,False,True,False
7598,4,1.5,1688,0.52,1950,544300.0,False,True,False
8017,1,1.0,714,0.12,2022,217200.0,False,False,True
8319,2,1.0,799,0.13,1942,229000.0,False,True,False
7361,4,1.0,2431,0.23,1953,1348200.0,False,False,True
8138,2,1.0,1326,0.41,1949,425300.0,False,False,False
7416,1,1.0,1431,0.21,2013,706600.0,False,True,False
8717,2,1.0,1828,0.22,1961,524800.0,False,True,False
8968,2,1.0,1497,0.13,1983,515700.0,False,True,False
7349,1,1.0,1153,0.23,1990,449800.0,False,False,False
8924,3,1.5,1439,0.87,1928,576100.0,False,False,False
7843,4,1.5,2095,0.28,1937,540300.0,False,True,False
7011,3,1.5,2265,0.44,2009,591600.0,False,True,False
7716,1,1.0,576,0.41,2013,299000.0,False,True,False
8989,3,2.0,1320,0.11,1979,770500.0,False,True,False
7147,5,2.5,2526,0.23,1901,1420400.0,False,True,False
8538,1,1.0,1102,1.02,1948,504500.0,False,True,False
7395,2,1.0,1185,0.19,2011,815900.0,False,True,False
8892,1,1.0,1294,0.27,2007,627000.0,False,True,False
8217,3,1.0,2144,0.32,1900,872200.0,False,True,False
7424,1,1.0,587,0.14,1978,292800.0,False,False,True
7257,3,1.0,2253,0.83,2020,802500.0,False,False,True
8313,1,1.0,679,0.08,1987,233200.0,False,False,False
7610,3,1.5,1251,0.09,1926,617500.0,False,False,False
8921,1,1.0,888,0.13,1965,474000.0,False,True,False
7321,4,1.5,2475,0.25,1911,1437400.0,False,True,False
7649,2,1.0,790,0.24,2024,529600.0,False,False,False
8938,1,1.0,1449,0.38,1986,389300.0,False,True,False
7049,4,2.0,1922,0.39,1997,1087200.0,False,True,False
8190,2,1.0,822,0.17,1968,276000.0,False,True,False
7086,3,1.0,1709,0.43,1901,1081100.0,True,False,False
7219,5,2.5,2540,0.1,1993,1057900.0,False,True,False
8279,1,1.0,797,0.62,1948,501800.0,False,True,False
7098,2,1.0,825,0.13,1996,463700.0,False,True,False
7264,2,1.0,926,0.09,2016,584200.0,False,True,False
8889,1,1.0,500,0.48,1914,307300.0,False,True,False
8332,2,1.0,564,0.15,1933,280400.0,False,False,False
8327,1,1.0,1056,0.36,1977,306500.0,False,False,True
8835,1,1.0,1216,0.18,1916,571300.0,False,False,True
8047,2,1.0,813,1.23,1902,350100.0,False,False,False
7160,4,2.5,1610,0.22,1962,828400.0,False,False,True
8764,3,1.0,2219,0.27,1944,1412100.0,False,True,False
8224,3,1.5,1074,0.07,1923,544600.0,False,True,False
7449,1,1.0,783,0.08,1945,542700.0,False,False,True
8393,1,1.0,500,0.23,1995,157800.0,False,True,False
8189,3,1.0,1152,0.43,1982,589800.0,False,True,False
7499,6,2.0,3831,0.12,1957,1772500.0,False,True,False
8763,2,1.0,829,0.09,1967,482700.0,False,True,False
8270,2,1.0,615,0.18,1923,413200.0,False,True,False
8828,3,1.0,1962,0.18,1964,848800.0,False,True,False
8191,2,1.0,1116,0.25,2024,323000.0,False,True,False
7074,1,1.0,985,0.19,1945,506900.0,False,True,False
8741,2,1.0,1128,0.51,1970,723800.0,False,False,False
7774,2,1.0,1787,0.26,2017,511300.0,False,True,False
8927,5,2.0,3183,0.11,1970,824500.0,False,True,False
7310,2,1.0,929,0.28,2007,290800.0,False,True,False
8688,1,1.0,1415,0.22,1999,365200.0,False,True,False
8236,6,3.0,4704,0.42,1922,1227600.0,False,True,False
7954,5,3.0,2164,0.19,1938,930300.0,False,True,False
7197,4,1.0,2673,0.24,1941,952100.0,False,True,False
7415,3,1.0,1373,0.67,1958,444800.0,False,True,False
8224,5,1.5,2591,0.14,1979,845000.0,False,False,False
8517,1,1.0,961,0.21,1942,514000.0,True,False,False
8214,3,1.0,1746,0.12,1902,701900.0,False,True,False
8630,1,1.0,881,0.58,1909,447400.0,False,False,True
7288,5,3.0,2662,0.35,2009,668100.0,False,True,False
7746,2,1.0,1726,0.16,1912,810800.0,False,True,False
7735,6,2.0,3942,4.3,1977,1005000.0,False,True,False
8895,3,1.0,1278,0.05,1963,328300.0,False,True,False
